date,special,prize1,prize2,prize3_1,prize3_2,prize4_1,prize4_2,prize4_3,prize4_4,prize4_5,prize4_6,prize4_7,prize5,prize6_1,prize6_2,prize6_3,prize7,prize8
2025-09-16,33,92,57,43,68,20,53,14,6,94,44,50,34,67,64,0,18,53
2025-09-23,88,58,83,17,82,24,4,80,44,17,20,42,68,32,98,71,55,26
2025-09-30,69,45,32,31,74,18,35,90,27,32,79,95,93,67,63,99,43,94
2025-10-07,37,54,45,58,82,10,39,3,52,64,69,78,69,57,34,40,59,22
2025-10-14,47,88,69,46,98,32,28,60,18,24,82,25,32,57,21,89,4,4
2025-10-21,95,94,51,56,43,88,38,41,34,45,76,87,78,12,25,23,55,48
2025-10-28,76,68,84,48,22,38,19,14,40,41,32,15,22,73,34,83,87,92
2025-11-04,76,83,99,89,75,38,2,79,99,69,82,64,64,84,46,72,55,21
2025-11-11,78,44,47,57,25,78,84,36,57,65,91,2,70,62,96,60,50,23
2025-11-18,11,43,11,69,27,34,49,55,63,90,37,37,44,93,78,93,75,87
2025-11-25,38,47,9,95,33,51,60,88,94,93,89,96,84,13,68,16,38,6
2025-12-02,48,41,93,9,71,21,78,51,58,44,18,49,50,5,51,33,89,89
2025-12-09,60,23,35,97,64,41,76,39,97,13,12,51,37,57,96,50,50,49
2025-12-16,69,22,2,71,8,45,13,61,29,44,63,7,14,62,39,96,63,62
2025-12-23,75,1,51,89,60,39,95,97,13,10,97,60,22,56,61,56,50,4
2025-12-30,44,68,35,83,86,6,50,61,63,45,87,94,12,65,36,90,95,79
2026-01-06,17,93,73,42,28,91,86,99,92,24,71,52,8,71,80,3,92,32
2026-01-13,19,15,99,9,6,92,86,89,28,89,84,97,34,98,5,95,53,57
2026-01-20,4,79,66,93,22,46,20,72,91,89,86,94,38,1,29,58,5,85
2026-01-27,97,63,80,46,10,58,82,38,42,10,61,3,83,29,76,89,96,92
2026-02-03,11,10,61,7,38,45,18,89,12,70,19,10,37,59,95,64,59,75
2026-02-10,45,74,37,41,34,54,30,92,85,58,45,21,73,66,12,99,25,11
2026-02-17,66,5,61,54,4,17,17,90,39,0,24,50,13,58,1,96,6,51
2026-02-24,99,18,13,59,91,43,74,50,18,15,9,56,7,59,59,31,64,79
2026-03-03,31,94,87,41,56,96,61,18,24,26,89,78,14,14,40,80,71,80
2026-03-10,96,52,11,5,77,46,53,86,96,11,89,48,17,79,65,98,32,74
2026-03-17,27,61,77,93,19,73,83,65,91,28,2,99,14,48,68,34,12,48
2026-03-24,90,50,76,96,18,80,82,92,84,49,87,15,85,27,47,74,42,67
2026-03-31,1,24,92,64,14,49,5,62,82,26,99,38,69,87,26,87,39,21
2026-04-07,31,2,63,77,13,31,30,17,65,40,82,59,8,44,36,73,37,73
2026-04-14,65,39,87,64,78,53,95,52,29,76,30,30,76,78,92,61,42,13
2026-04-21,84,67,24,69,77,45,73,39,1,33,2,49,83,87,27,22,22,4
2026-04-28,6,85,30,8,9,35,10,45,47,66,92,21,17,40,96,82,20,2
2026-05-05,78,32,62,10,33,77,32,80,20,48,85,53,38,98,86,52,59,89
2026-05-12,32,85,0,23,32,32,2,0,66,45,7,31,19,98,14,66,54,63
2026-05-19,89,2,45,76,65,14,23,75,36,68,99,59,50,67,38,94,85,34
2026-05-26,90,47,7,18,82,44,22,55,11,63,36,23,46,8,3,78,95,13
2026-06-02,52,47,64,3,67,70,26,14,92,60,37,59,86,35,70,3,95,26
2026-06-09,86,51,98,4,94,50,83,75,87,94,0,15,86,6,48,0,33,87
2026-06-16,26,93,18,89,77,10,46,45,51,76,66,82,25,53,2,87,61,48
2026-06-23,75,72,58,40,76,28,81,14,19,91,24,99,45,90,74,30,27,42
2026-06-30,12,82,39,1,2,78,29,61,14,39,83,39,28,66,7,32,65,35
2026-07-07,84,51,57,86,12,70,21,52,45,16,71,46,6,32,53,40,72,36
2026-07-14,54,11,29,90,60,62,95,81,10,38,99,48,19,14,69,61,18,36
